Generation,mean,stderr,mean collisions,collision stderr,collisions min,collisions max
1,1,0.31622776601683794,0.3,0.14491376746189435,0,1
2,1,0.31622776601683794,0.4,0.20976176963403032,0,2
3,1,0.31622776601683794,0.4,0.15491933384829668,0,1
4,1,0.31622776601683794,0.3,0.14491376746189438,0,1
5,1,0.31622776601683794,0.1,0.09486832980505139,0,1
6,1,0.31622776601683794,0.3,0.20248456731316586,0,2
7,1,0.31622776601683794,0.2,0.12649110640673517,0,1
8,1,0.31622776601683794,0.3,0.14491376746189435,0,1
9,1,0.31622776601683794,0.2,0.1264911064067352,0,1
10,1,0.31622776601683794,0.5,0.15811388300841897,0,1
