Generation,mean,stderr,mean collisions,collision stderr,collisions min,collisions max,mean wires,mean wires stderr
1,1,0.31622776601683794,0.8,0.18973665961010275,0,2,,
2,1,0.31622776601683794,1.3,0.24698178070456936,0,3,,
3,1,0.31622776601683794,1.2,0.41952353926806063,0,4,,
4,1,0.31622776601683794,0.5,0.15811388300841897,0,1,,
5,1,0.31622776601683794,0.2,0.1264911064067352,0,1,,
6,1,0.31622776601683794,0.3,0.14491376746189435,0,1,,
7,1,0.31622776601683794,0.4,0.15491933384829668,0,1,,
8,1,0.31622776601683794,0.3,0.14491376746189435,0,1,,
9,1,0.31622776601683794,0.4,0.15491933384829668,0,1,,
10,1,0.31622776601683794,0.5,0.15811388300841897,0,1,,
