Filename,Raw Performance,Normalzied Performance,Number of Collisions,Number of Wires,Number of Crossover Points,Number of Active Threads
7_2_6_0_6_7,,,0,0,5,0
7_1_6_2_6_3,,,0,0,4,0
7_7_6_0_6_6,,,0,0,4,0
7_9_6_7_6_8,,,0,2,4,1
7_4_6_5_6_9,,,0,2,5,1
7_0_6_7_6_2,,,0,2,3,1
7_3_6_0_6_3,,,0,0,5,0
7_6_6_2_6_9,,,0,0,4,0
7_8_6_3_6_5,,,0,2,4,1
7_5_6_2_6_7,,,0,0,4,0
10_1_9_1_9_4,,,0,0,7,0
10_2_9_9_9_7,,,0,0,6,0
10_3_9_7_9_4,,,0,2,5,1
10_8_9_1_9_5,,,0,0,7,0
10_6_9_0_9_4,,,0,0,8,0
10_7_9_7_9_9,,,0,0,7,0
10_9_9_3_9_8,,,0,2,5,1
10_0_9_7_9_1,,,0,2,6,1
10_5_9_1_9_3,,,0,0,6,0
10_4_9_8_9_9,,,0,0,7,0
9_2_8_8_8_9,,,0,0,5,0
9_3_8_1_8_8,,,0,2,4,1
9_4_8_5_8_7,,,0,2,6,1
9_9_8_3_8_9,,,0,0,5,0
9_0_8_8_8_1,,,0,0,6,0
9_5_8_3_8_9,,,0,0,5,0
9_7_8_5_8_8,,,0,2,4,1
9_8_8_4_8_1,,,0,2,7,1
9_1_8_3_8_1,,,0,0,6,0
9_6_8_7_8_6,,,0,0,6,0
11_0_10_9_10_4,,,0,2,5,1
11_4_10_3_10_9,,,0,2,5,1
11_3_10_6_10_5,,,0,0,7,0
11_6_10_4_10_5,,,0,0,8,0
11_8_10_6_10_2,,,0,0,7,0
11_9_10_3_10_0,,,0,2,5,1
11_7_10_1_10_9,,,0,2,7,1
11_1_10_9_10_4,,,0,2,5,1
11_5_10_4_10_1,,,0,0,8,0
11_2_10_1_10_5,,,0,0,8,0
6_4_5_9_5_7,,,0,0,4,0
6_5_5_8_5_6,,,0,2,5,1
6_3_5_4_5_5,,,0,2,3,1
6_1_5_6_5_7,,,0,1,4,1
6_6_5_7_5_8,,,1,4,7,3
6_7_5_5_5_6,,,0,2,2,1
6_9_5_9_5_1,,,0,0,5,0
6_2_5_9_5_5,,,0,0,4,0
6_0_5_9_5_5,,,0,0,4,0
6_8_5_4_5_0,,,0,2,4,1
8_6_7_1_7_3,,,0,0,6,0
8_3_7_1_7_2,,,0,0,5,0
8_7_7_7_7_8,,,0,0,6,0
8_2_7_2_7_4,,,0,0,6,0
8_0_7_8_7_4,,,0,2,4,1
8_8_7_2_7_9,,,0,0,4,0
8_5_7_0_7_4,,,0,2,5,1
8_4_7_3_7_8,,,0,0,7,0
8_1_7_8_7_3,,,0,2,4,1
8_9_7_0_7_4,,,0,2,5,1
5_9_4_8_4_0,,,0,3,4,2
5_3_4_1_4_6,,,0,4,3,2
5_4_4_5_4_9,,,0,2,2,1
5_5_4_0_4_8,,,0,2,3,1
5_0_4_5_4_6,,,0,2,4,1
5_6_4_6_4_1,,,0,2,3,1
5_7_4_9_4_5,,,0,0,4,0
5_8_4_2_4_4,,,0,2,6,1
5_1_4_8_4_9,,,0,2,5,1
5_2_4_5_4_6,,,0,3,5,2
4_9_3_4_3_1,,,0,0,4,0
4_1_3_9_3_7,,,0,1,5,1
4_8_3_8_3_2,,,0,2,2,1
4_0_3_0_3_7,,,0,2,4,1
4_6_3_0_3_9,,,0,2,3,1
4_2_3_2_3_0,,,0,2,2,1
4_3_3_2_3_8,,,0,2,2,1
4_7_3_3_3_7,,,0,2,7,1
4_4_3_9_3_7,,,0,1,7,1
4_5_3_0_3_4,,,1,2,3,1
2_6_1_9_1_4,,,1,4,4,2
2_5_1_5_1_3,,,0,2,3,1
2_8_1_0_1_2,,,0,0,6,0
2_0_1_1_1_4,,,0,2,4,1
2_3_1_1_1_0,,,0,2,3,1
2_7_1_6_1_1,,,0,4,4,2
2_1_1_6_1_1,,,0,2,4,1
2_4_1_6_1_4,,,0,2,4,1
2_9_1_3_1_5,,,0,1,4,1
2_2_1_4_1_5,,,0,2,2,1
3_5_2_5_2_3,,,0,2,1,1
3_2_2_5_2_2,,,0,2,1,1
3_1_2_4_2_9,,,0,0,4,0
3_6_2_2_2_4,,,1,2,4,1
3_0_2_2_2_9,,,0,2,2,1
3_7_2_6_2_7,,,0,0,5,0
3_8_2_5_2_3,,,0,2,1,1
3_4_2_4_2_2,,,0,1,4,1
3_3_2_6_2_9,,,0,3,7,2
3_9_2_9_2_8,,,0,1,3,1
1_6_ _ _ _ ,,,0,2,2,1
1_1_ _ _ _ ,,,0,2,2,1
1_9_ _ _ _ ,,,1,3,2,2
1_5_ _ _ _ ,,,0,4,2,2
1_0_ _ _ _ ,,,0,2,2,1
1_4_ _ _ _ ,,,0,2,2,1
1_2_ _ _ _ ,,,0,3,2,1
1_7_ _ _ _ ,,,1,4,2,3
1_3_ _ _ _ ,,,1,2,2,2
1_8_ _ _ _ ,,,0,3,2,3
